"industry_code","industry_description","energy_tech_category","energy_tech_subcategory"
"238210","Electrical Contractors and Other Wiring Installation Contractors","Grid hardware","deployment"
"238210","Electrical Contractors and Other Wiring Installation Contractors","Solar photovoltaic","deployment"
"238220","Plumbing, Heating, and Air-Conditioning Contractors","Building HVAC","deployment"
"238310","Drywall and Insulation Contractors","Building envelope","deployment"
"238990","All Other Specialty Trade Contractors","Building envelope","deployment"
"311225","Fats and Oils Refining and Blending","Synthetic fuels and biofuels","supply chain"
"311999","All Other Miscellaneous Food Manufacturing","Other industrial decarbonization","supply chain"
"321114","Wood Preservation","Grid hardware","supply chain"
"321219","Reconstituted Wood Product Manufacturing","Building envelope","supply chain"
"321911","Wood Window and Door Manufacturing","Building envelope","supply chain"
"322120","Paper Mills","Other industrial decarbonization","supply chain"
"322130","Paperboard Mills","Other industrial decarbonization","supply chain"
"322299","All Other Converted Paper Product Manufacturing","Building envelope","supply chain"
"324110","Petroleum Refineries","Hydrogen production","supply chain"
"324110","Petroleum Refineries","Synthetic fuels and biofuels","supply chain"
"324191","Petroleum Lubricating Oil and Grease Manufacturing","Wind","supply chain"
"324199","All Other Petroleum and Coal Products Manufacturing","Synthetic fuels and biofuels","supply chain"
"325120","Industrial Gas Manufacturing","Aluminum","supply chain"
"325120","Industrial Gas Manufacturing","Cement","supply chain"
"325120","Industrial Gas Manufacturing","Hydrogen production","supply chain"
"325120","Industrial Gas Manufacturing","Industrial chemicals and bioplastics","supply chain"
"325120","Industrial Gas Manufacturing","Nuclear fission","supply chain"
"325120","Industrial Gas Manufacturing","Nuclear fusion","supply chain"
"325120","Industrial Gas Manufacturing","Semiconductor supply chain","supply chain"
"325120","Industrial Gas Manufacturing","Steel","supply chain"
"325120","Industrial Gas Manufacturing","Synthetic ammonia and methanol","supply chain"
"325120","Industrial Gas Manufacturing","Synthetic fuels and biofuels","supply chain"
"325180","Other Basic Inorganic Chemical Manufacturing","Battery and energy storage","supply chain"
"325180","Other Basic Inorganic Chemical Manufacturing","Critical minerals processing and refining","supply chain"
"325180","Other Basic Inorganic Chemical Manufacturing","Hydrogen production","supply chain"
"325180","Other Basic Inorganic Chemical Manufacturing","Industrial chemicals and bioplastics","supply chain"
"325180","Other Basic Inorganic Chemical Manufacturing","Nuclear fission","supply chain"
"325180","Other Basic Inorganic Chemical Manufacturing","Nuclear fusion","supply chain"
"325180","Other Basic Inorganic Chemical Manufacturing","Quantum computing infrastructure","supply chain"
"325180","Other Basic Inorganic Chemical Manufacturing","Semiconductor supply chain","supply chain"
"325180","Other Basic Inorganic Chemical Manufacturing","Solar photovoltaic","supply chain"
"325180","Other Basic Inorganic Chemical Manufacturing","Solar thermal","supply chain"
"325180","Other Basic Inorganic Chemical Manufacturing","Steel","supply chain"
"325180","Other Basic Inorganic Chemical Manufacturing","Water and wastewater infrastructure","supply chain"
"325193","Ethyl Alcohol Manufacturing","Synthetic fuels and biofuels","supply chain"
"325199","All Other Basic Organic Chemical Manufacturing","Battery and energy storage","supply chain"
"325199","All Other Basic Organic Chemical Manufacturing","Chemical recycling","supply chain"
"325199","All Other Basic Organic Chemical Manufacturing","Critical minerals processing and refining","supply chain"
"325199","All Other Basic Organic Chemical Manufacturing","Engineered carbon management","supply chain"
"325199","All Other Basic Organic Chemical Manufacturing","Geothermal","supply chain"
"325199","All Other Basic Organic Chemical Manufacturing","Industrial chemicals and bioplastics","supply chain"
"325199","All Other Basic Organic Chemical Manufacturing","Semiconductor supply chain","supply chain"
"325199","All Other Basic Organic Chemical Manufacturing","Synthetic ammonia and methanol","supply chain"
"325199","All Other Basic Organic Chemical Manufacturing","Synthetic fuels and biofuels","supply chain"
"325211","Plastics Material and Resin Manufacturing","Chemical recycling","supply chain"
"325211","Plastics Material and Resin Manufacturing","Engineered carbon management","supply chain"
"325211","Plastics Material and Resin Manufacturing","Hydrogen production","supply chain"
"325211","Plastics Material and Resin Manufacturing","Industrial chemicals and bioplastics","supply chain"
"325211","Plastics Material and Resin Manufacturing","Water and wastewater infrastructure","supply chain"
"325311","Nitrogenous Fertilizer Manufacturing","Industrial chemicals and bioplastics","supply chain"
"325311","Nitrogenous Fertilizer Manufacturing","Synthetic ammonia and methanol","supply chain"
"325314","Fertilizer (Mixing Only) Manufacturing","Industrial chemicals and bioplastics","supply chain"
"325520","Adhesive Manufacturing","Building envelope","supply chain"
"325520","Adhesive Manufacturing","Solar photovoltaic","supply chain"
"325992","Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing","Semiconductor supply chain","supply chain"
"325998","All Other Miscellaneous Chemical Product and Preparation Manufacturing","Engineered carbon management","supply chain"
"325998","All Other Miscellaneous Chemical Product and Preparation Manufacturing","Semiconductor supply chain","supply chain"
"325998","All Other Miscellaneous Chemical Product and Preparation Manufacturing","Solar photovoltaic","supply chain"
"325998","All Other Miscellaneous Chemical Product and Preparation Manufacturing","Water and wastewater infrastructure","supply chain"
"326113","Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing","Battery and energy storage","supply chain"
"326113","Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing","Solar photovoltaic","supply chain"
"326113","Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing","Water and wastewater infrastructure","supply chain"
"326130","Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing","Solar photovoltaic","supply chain"
"326140","Polystyrene Foam Product Manufacturing","Building envelope","supply chain"
"326150","Urethane and Other Foam Product (except Polystyrene) Manufacturing","Building envelope","supply chain"
"326199","All Other Plastics Product Manufacturing","Battery and energy storage","supply chain"
"326199","All Other Plastics Product Manufacturing","Building envelope","supply chain"
"326199","All Other Plastics Product Manufacturing","Critical minerals processing and refining","supply chain"
"326199","All Other Plastics Product Manufacturing","Electric mobility","supply chain"
"326199","All Other Plastics Product Manufacturing","Geothermal","supply chain"
"326199","All Other Plastics Product Manufacturing","Grid hardware","supply chain"
"326199","All Other Plastics Product Manufacturing","Water and wastewater infrastructure","supply chain"
"326199","All Other Plastics Product Manufacturing","Wind","supply chain"
"327110","Pottery, Ceramics, and Plumbing Fixture Manufacturing","Grid hardware","supply chain"
"327211","Flat Glass Manufacturing","Solar photovoltaic","supply chain"
"327215","Glass Product Manufacturing Made of Purchased Glass","Building envelope","supply chain"
"327215","Glass Product Manufacturing Made of Purchased Glass","Grid hardware","supply chain"
"327215","Glass Product Manufacturing Made of Purchased Glass","Solar photovoltaic","supply chain"
"327310","Cement Manufacturing","Cement","supply chain"
"327310","Cement Manufacturing","Geothermal","supply chain"
"327390","Other Concrete Product Manufacturing","Grid hardware","supply chain"
"327410","Lime Manufacturing","Water and wastewater infrastructure","supply chain"
"327910","Abrasive Product Manufacturing","Quantum computing infrastructure","supply chain"
"327992","Ground or Treated Mineral and Earth Manufacturing","Critical minerals processing and refining","supply chain"
"327992","Ground or Treated Mineral and Earth Manufacturing","Semiconductor supply chain","supply chain"
"327992","Ground or Treated Mineral and Earth Manufacturing","Solar photovoltaic","supply chain"
"327993","Mineral Wool Manufacturing","Building envelope","supply chain"
"327993","Mineral Wool Manufacturing","Wind","supply chain"
"327999","All Other Miscellaneous Nonmetallic Mineral Product Manufacturing","Cement","supply chain"
"327999","All Other Miscellaneous Nonmetallic Mineral Product Manufacturing","Geothermal","supply chain"
"327999","All Other Miscellaneous Nonmetallic Mineral Product Manufacturing","Hydrogen production","supply chain"
"327999","All Other Miscellaneous Nonmetallic Mineral Product Manufacturing","Nuclear fusion","supply chain"
"331110","Iron and Steel Mills and Ferroalloy Manufacturing","Battery and energy storage","supply chain"
"331110","Iron and Steel Mills and Ferroalloy Manufacturing","Critical minerals processing and refining","supply chain"
"331110","Iron and Steel Mills and Ferroalloy Manufacturing","Hydropower","supply chain"
"331110","Iron and Steel Mills and Ferroalloy Manufacturing","Steel","supply chain"
"331210","Iron and Steel Pipe and Tube Manufacturing from Purchased Steel","Geothermal","supply chain"
"331210","Iron and Steel Pipe and Tube Manufacturing from Purchased Steel","Hydropower","supply chain"
"331221","Rolled Steel Shape Manufacturing","Wind","supply chain"
"331313","Alumina Refining and Primary Aluminum Production","Aluminum","supply chain"
"331314","Secondary Smelting and Alloying of Aluminum","Other industrial decarbonization","supply chain"
"331318","Other Aluminum Rolling, Drawing, and Extruding","Grid hardware","supply chain"
"331318","Other Aluminum Rolling, Drawing, and Extruding","Wind","supply chain"
"331410","Nonferrous Metal (except Aluminum) Smelting and Refining","Battery and energy storage","supply chain"
"331410","Nonferrous Metal (except Aluminum) Smelting and Refining","Critical minerals processing and refining","supply chain"
"331410","Nonferrous Metal (except Aluminum) Smelting and Refining","Nuclear fusion","supply chain"
"331410","Nonferrous Metal (except Aluminum) Smelting and Refining","Other industrial decarbonization","supply chain"
"331410","Nonferrous Metal (except Aluminum) Smelting and Refining","Semiconductor supply chain","supply chain"
"331410","Nonferrous Metal (except Aluminum) Smelting and Refining","Solar photovoltaic","supply chain"
"331420","Copper Rolling, Drawing, Extruding, and Alloying","Grid hardware","supply chain"
"331420","Copper Rolling, Drawing, Extruding, and Alloying","Semiconductor supply chain","supply chain"
"331491","Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding","Critical minerals processing and refining","supply chain"
"331491","Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding","Nuclear fission","supply chain"
"331492","Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)","Battery and energy storage","supply chain"
"331492","Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)","Critical minerals processing and refining","supply chain"
"331492","Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)","Grid hardware","supply chain"
"331492","Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)","Other industrial decarbonization","supply chain"
"332111","Iron and Steel Forging","Hydropower","supply chain"
"332111","Iron and Steel Forging","Nuclear fission","supply chain"
"332111","Iron and Steel Forging","Wind","supply chain"
"332112","Nonferrous Forging","Hydropower","supply chain"
"332114","Custom Roll Forming","Solar","supply chain"
"332312","Fabricated Structural Metal Manufacturing","Battery and energy storage","supply chain"
"332312","Fabricated Structural Metal Manufacturing","Grid hardware","supply chain"
"332312","Fabricated Structural Metal Manufacturing","Hydrogen production","supply chain"
"332312","Fabricated Structural Metal Manufacturing","Solar photovoltaic","supply chain"
"332312","Fabricated Structural Metal Manufacturing","Wind","supply chain"
"332313","Plate Work Manufacturing","Hydropower","supply chain"
"332313","Plate Work Manufacturing","Nuclear fission","supply chain"
"332313","Plate Work Manufacturing","Nuclear fusion","supply chain"
"332313","Plate Work Manufacturing","Solar thermal","supply chain"
"332313","Plate Work Manufacturing","Wind","supply chain"
"332321","Metal Window and Door Manufacturing","Building envelope","supply chain"
"332322","Sheet Metal Work Manufacturing","Solar photovoltaic","supply chain"
"332410","Power Boiler and Heat Exchanger Manufacturing","Aluminum","supply chain"
"332410","Power Boiler and Heat Exchanger Manufacturing","Battery and energy storage","supply chain"
"332410","Power Boiler and Heat Exchanger Manufacturing","Cement","supply chain"
"332410","Power Boiler and Heat Exchanger Manufacturing","Engineered carbon management","supply chain"
"332410","Power Boiler and Heat Exchanger Manufacturing","Geothermal","supply chain"
"332410","Power Boiler and Heat Exchanger Manufacturing","Industrial process heat and industrial heat pumps","supply chain"
"332410","Power Boiler and Heat Exchanger Manufacturing","Nuclear fission","supply chain"
"332410","Power Boiler and Heat Exchanger Manufacturing","Nuclear fusion","supply chain"
"332410","Power Boiler and Heat Exchanger Manufacturing","Solar photovoltaic","supply chain"
"332410","Power Boiler and Heat Exchanger Manufacturing","Solar thermal","supply chain"
"332410","Power Boiler and Heat Exchanger Manufacturing","Steel","supply chain"
"332420","Metal Tank (Heavy Gauge) Manufacturing","Battery and energy storage","supply chain"
"332420","Metal Tank (Heavy Gauge) Manufacturing","Hydrogen transport, storage and distribution","supply chain"
"332420","Metal Tank (Heavy Gauge) Manufacturing","Water and wastewater infrastructure","supply chain"
"332812","Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers","Geothermal","supply chain"
"332911","Industrial Valve Manufacturing","Geothermal","supply chain"
"332911","Industrial Valve Manufacturing","Hydrogen production","supply chain"
"332911","Industrial Valve Manufacturing","Hydrogen transport, storage and distribution","supply chain"
"332911","Industrial Valve Manufacturing","Hydropower","supply chain"
"332911","Industrial Valve Manufacturing","Water and wastewater infrastructure","supply chain"
"332991","Ball and Roller Bearing Manufacturing","Wind","supply chain"
"332996","Fabricated Pipe and Pipe Fitting Manufacturing","Engineered carbon management","supply chain"
"332996","Fabricated Pipe and Pipe Fitting Manufacturing","Geothermal","supply chain"
"332996","Fabricated Pipe and Pipe Fitting Manufacturing","Hydrogen transport, storage and distribution","supply chain"
"332996","Fabricated Pipe and Pipe Fitting Manufacturing","Hydropower","supply chain"
"332999","All Other Miscellaneous Fabricated Metal Product Manufacturing","Battery and energy storage","supply chain"
"332999","All Other Miscellaneous Fabricated Metal Product Manufacturing","Grid hardware","supply chain"
"332999","All Other Miscellaneous Fabricated Metal Product Manufacturing","Solar photovoltaic","supply chain"
"332999","All Other Miscellaneous Fabricated Metal Product Manufacturing","Solar thermal","supply chain"
"332999","All Other Miscellaneous Fabricated Metal Product Manufacturing","Wind","supply chain"
"333131","Mining Machinery and Equipment Manufacturing","Other industrial decarbonization","supply chain"
"333132","Oil and Gas Field Machinery and Equipment Manufacturing","Geothermal","supply chain"
"333242","Semiconductor Machinery Manufacturing","Battery and energy storage","supply chain"
"333242","Semiconductor Machinery Manufacturing","Quantum computing infrastructure","supply chain"
"333242","Semiconductor Machinery Manufacturing","Semiconductor supply chain","supply chain"
"333242","Semiconductor Machinery Manufacturing","Solar photovoltaic","supply chain"
"333248","All Other Industrial Machinery Manufacturing","Battery and energy storage","supply chain"
"333248","All Other Industrial Machinery Manufacturing","Solar photovoltaic","supply chain"
"333248","All Other Industrial Machinery Manufacturing","Wind","supply chain"
"333413","Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing","Data center","supply chain"
"333413","Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing","Geothermal","supply chain"
"333413","Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing","Grid hardware","supply chain"
"333413","Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing","Nuclear fusion","supply chain"
"333414","Heating Equipment (except Warm Air Furnaces) Manufacturing","Battery and energy storage","supply chain"
"333414","Heating Equipment (except Warm Air Furnaces) Manufacturing","Industrial process heat and industrial heat pumps","supply chain"
"333414","Heating Equipment (except Warm Air Furnaces) Manufacturing","Solar photovoltaic","supply chain"
"333414","Heating Equipment (except Warm Air Furnaces) Manufacturing","Solar thermal","supply chain"
"333415","Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing","Battery and energy storage","supply chain"
"333415","Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing","Building HVAC","supply chain"
"333415","Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing","Building electrification and energy efficiency","supply chain"
"333415","Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing","Data center","supply chain"
"333415","Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing","Geothermal","supply chain"
"333415","Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing","Grid hardware","supply chain"
"333415","Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing","Industrial process heat and industrial heat pumps","supply chain"
"333415","Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing","Nuclear fusion","supply chain"
"333415","Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing","Quantum computing infrastructure","supply chain"
"333515","Cutting Tool and Machine Tool Accessory Manufacturing","Geothermal","supply chain"
"333517","Machine Tool Manufacturing","Battery and energy storage","supply chain"
"333517","Machine Tool Manufacturing","Geothermal","supply chain"
"333517","Machine Tool Manufacturing","Hydropower","supply chain"
"333517","Machine Tool Manufacturing","Nuclear fission","supply chain"
"333517","Machine Tool Manufacturing","Wind","supply chain"
"333519","Rolling Mill and Other Metalworking Machinery Manufacturing","Geothermal","supply chain"
"333519","Rolling Mill and Other Metalworking Machinery Manufacturing","Hydropower","supply chain"
"333519","Rolling Mill and Other Metalworking Machinery Manufacturing","Nuclear fission","supply chain"
"333519","Rolling Mill and Other Metalworking Machinery Manufacturing","Steel","supply chain"
"333519","Rolling Mill and Other Metalworking Machinery Manufacturing","Wind","supply chain"
"333611","Turbine and Turbine Generator Set Units Manufacturing","Battery and energy storage","supply chain"
"333611","Turbine and Turbine Generator Set Units Manufacturing","Geothermal","supply chain"
"333611","Turbine and Turbine Generator Set Units Manufacturing","Grid hardware","supply chain"
"333611","Turbine and Turbine Generator Set Units Manufacturing","Hydropower","supply chain"
"333611","Turbine and Turbine Generator Set Units Manufacturing","Marine and tidal","supply chain"
"333611","Turbine and Turbine Generator Set Units Manufacturing","Nuclear fusion","supply chain"
"333611","Turbine and Turbine Generator Set Units Manufacturing","Solar thermal","supply chain"
"333611","Turbine and Turbine Generator Set Units Manufacturing","Wind","supply chain"
"333612","Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing","Wind","supply chain"
"333613","Mechanical Power Transmission Equipment Manufacturing","Battery and energy storage","supply chain"
"333613","Mechanical Power Transmission Equipment Manufacturing","Wind","supply chain"
"333618","Other Engine Equipment Manufacturing","Data center","supply chain"
"333618","Other Engine Equipment Manufacturing","Grid hardware","supply chain"
"333912","Air and Gas Compressor Manufacturing","Battery and energy storage","supply chain"
"333912","Air and Gas Compressor Manufacturing","Engineered carbon management","supply chain"
"333912","Air and Gas Compressor Manufacturing","Hydrogen transport, storage and distribution","supply chain"
"333912","Air and Gas Compressor Manufacturing","Industrial process heat and industrial heat pumps","supply chain"
"333912","Air and Gas Compressor Manufacturing","Nuclear fusion","supply chain"
"333914","Measuring, Dispensing, and Other Pumping Equipment Manufacturing","Geothermal","supply chain"
"333914","Measuring, Dispensing, and Other Pumping Equipment Manufacturing","Water and wastewater infrastructure","supply chain"
"333992","Welding and Soldering Equipment Manufacturing","Battery and energy storage","supply chain"
"333994","Industrial Process Furnace and Oven Manufacturing","Battery and energy storage","supply chain"
"333994","Industrial Process Furnace and Oven Manufacturing","Cement","supply chain"
"333994","Industrial Process Furnace and Oven Manufacturing","Engineered carbon management","supply chain"
"333994","Industrial Process Furnace and Oven Manufacturing","Geothermal","supply chain"
"333994","Industrial Process Furnace and Oven Manufacturing","Hydropower","supply chain"
"333994","Industrial Process Furnace and Oven Manufacturing","Nuclear fission","supply chain"
"333994","Industrial Process Furnace and Oven Manufacturing","Steel","supply chain"
"333994","Industrial Process Furnace and Oven Manufacturing","Water and wastewater infrastructure","supply chain"
"333994","Industrial Process Furnace and Oven Manufacturing","Wind","supply chain"
"333998","All Other Miscellaneous General Purpose Machinery Manufacturing","Aluminum","supply chain"
"333998","All Other Miscellaneous General Purpose Machinery Manufacturing","Battery and energy storage","supply chain"
"333998","All Other Miscellaneous General Purpose Machinery Manufacturing","Cement","supply chain"
"333998","All Other Miscellaneous General Purpose Machinery Manufacturing","Engineered carbon management","supply chain"
"333998","All Other Miscellaneous General Purpose Machinery Manufacturing","Geothermal","supply chain"
"333998","All Other Miscellaneous General Purpose Machinery Manufacturing","Quantum computing infrastructure","supply chain"
"333998","All Other Miscellaneous General Purpose Machinery Manufacturing","Steel","supply chain"
"333998","All Other Miscellaneous General Purpose Machinery Manufacturing","Synthetic ammonia and methanol","supply chain"
"334111","Electronic Computer Manufacturing","Data center","supply chain"
"334112","Computer Storage Device Manufacturing","Data center","supply chain"
"334118","Computer Terminal and Other Computer Peripheral Equipment Manufacturing","Data center","supply chain"
"334118","Computer Terminal and Other Computer Peripheral Equipment Manufacturing","Electric mobility","supply chain"
"334210","Telephone Apparatus Manufacturing","Data center","supply chain"
"334220","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","Nuclear fusion","supply chain"
"334220","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","Quantum computing infrastructure","supply chain"
"334290","Other Communications Equipment Manufacturing","Quantum computing infrastructure","supply chain"
"334310","Audio and Video Equipment Manufacturing","Electric mobility","supply chain"
"334413","Semiconductor and Related Device Manufacturing","Data center","supply chain"
"334413","Semiconductor and Related Device Manufacturing","Electric mobility","supply chain"
"334413","Semiconductor and Related Device Manufacturing","Engineered carbon management","supply chain"
"334413","Semiconductor and Related Device Manufacturing","Grid hardware","supply chain"
"334413","Semiconductor and Related Device Manufacturing","Hydrogen production","supply chain"
"334413","Semiconductor and Related Device Manufacturing","Nuclear fusion","supply chain"
"334413","Semiconductor and Related Device Manufacturing","Quantum computing infrastructure","supply chain"
"334413","Semiconductor and Related Device Manufacturing","Semiconductor supply chain","supply chain"
"334413","Semiconductor and Related Device Manufacturing","Solar photovoltaic","supply chain"
"334417","Electronic Connector Manufacturing","Electric mobility","supply chain"
"334418","Printed Circuit Assembly (Electronic Assembly) Manufacturing","Battery and energy storage","supply chain"
"334418","Printed Circuit Assembly (Electronic Assembly) Manufacturing","Electric mobility","supply chain"
"334419","Other Electronic Component Manufacturing","Battery and energy storage","supply chain"
"334419","Other Electronic Component Manufacturing","Electric mobility","supply chain"
"334419","Other Electronic Component Manufacturing","Geothermal","supply chain"
"334419","Other Electronic Component Manufacturing","Nuclear fusion","supply chain"
"334419","Other Electronic Component Manufacturing","Quantum computing infrastructure","supply chain"
"334419","Other Electronic Component Manufacturing","Semiconductor supply chain","supply chain"
"334419","Other Electronic Component Manufacturing","Solar photovoltaic","supply chain"
"334511","Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing","Geothermal","supply chain"
"334512","Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use","Building electrification and energy efficiency","supply chain"
"334513","Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables","Battery and energy storage","supply chain"
"334513","Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables","Geothermal","supply chain"
"334513","Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables","Nuclear fusion","supply chain"
"334513","Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables","Other industrial decarbonization","supply chain"
"334513","Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables","Wind","supply chain"
"334515","Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals","Battery and energy storage","supply chain"
"334515","Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals","Semiconductor supply chain","supply chain"
"334515","Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals","Solar photovoltaic","supply chain"
"334516","Analytical Laboratory Instrument Manufacturing","Geothermal","supply chain"
"334516","Analytical Laboratory Instrument Manufacturing","Nuclear fusion","supply chain"
"334516","Analytical Laboratory Instrument Manufacturing","Quantum computing infrastructure","supply chain"
"334516","Analytical Laboratory Instrument Manufacturing","Semiconductor supply chain","supply chain"
"334517","Irradiation Apparatus Manufacturing","Nuclear fusion","supply chain"
"334517","Irradiation Apparatus Manufacturing","Quantum computing infrastructure","supply chain"
"334519","Other Measuring and Controlling Device Manufacturing","Building electrification and energy efficiency","supply chain"
"334519","Other Measuring and Controlling Device Manufacturing","Chemical recycling","supply chain"
"334519","Other Measuring and Controlling Device Manufacturing","Climate monitoring and verification hardware","supply chain"
"334519","Other Measuring and Controlling Device Manufacturing","Semiconductor supply chain","supply chain"
"334519","Other Measuring and Controlling Device Manufacturing","Wind","supply chain"
"335220","Major Household Appliance Manufacturing","Building HVAC","supply chain"
"335311","Power, Distribution, and Specialty Transformer Manufacturing","Data center","supply chain"
"335311","Power, Distribution, and Specialty Transformer Manufacturing","Grid hardware","supply chain"
"335311","Power, Distribution, and Specialty Transformer Manufacturing","Solar photovoltaic","supply chain"
"335312","Motor and Generator Manufacturing","Electric mobility","supply chain"
"335312","Motor and Generator Manufacturing","Grid hardware","supply chain"
"335312","Motor and Generator Manufacturing","Hydropower","supply chain"
"335312","Motor and Generator Manufacturing","Wind","supply chain"
